team_a,team_b,phase,odds_home,odds_draw,odds_away,bookmaker,source_url
Qatar,Ecuador,GROUP,3.59,3.11,2.22,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Senegal,Netherlands,GROUP,5.85,3.63,1.65,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Qatar,Senegal,GROUP,5.44,3.55,1.7,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Netherlands,Ecuador,GROUP,1.83,3.36,4.75,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Ecuador,Senegal,GROUP,2.44,3.01,3.18,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Netherlands,Qatar,GROUP,1.19,6.81,14.61,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
England,Iran,GROUP,1.37,4.56,10.14,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
USA,Wales,GROUP,2.43,3.07,3.17,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Wales,Iran,GROUP,2.11,3.16,3.76,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
England,USA,GROUP,1.46,4.14,7.69,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Wales,England,GROUP,8.45,4.35,1.41,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Iran,USA,GROUP,4.03,3.45,1.93,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Argentina,Saudi Arabia,GROUP,1.11,9.08,25.5,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Mexico,Poland,GROUP,2.47,3.09,3.09,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Poland,Saudi Arabia,GROUP,1.7,3.54,5.45,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Argentina,Mexico,GROUP,1.52,3.89,7.1,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Poland,Argentina,GROUP,8.15,4.44,1.41,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Saudi Arabia,Mexico,GROUP,5.4,4.13,1.6,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Denmark,Tunisia,GROUP,1.57,3.82,6.45,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Australia,GROUP,1.2,6.58,13.69,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Tunisia,Australia,GROUP,2.16,3.27,3.51,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Denmark,GROUP,1.81,3.47,4.67,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Australia,Denmark,GROUP,7.65,4.66,1.4,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Tunisia,France,GROUP,5.84,3.81,1.61,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Germany,Japan,GROUP,1.41,4.85,7.17,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Spain,Costa Rica,GROUP,1.14,8.33,17.4,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Japan,Costa Rica,GROUP,1.47,4.15,7.36,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Spain,Germany,GROUP,2.5,3.38,2.79,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Japan,Spain,GROUP,6.98,4.35,1.46,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Costa Rica,Germany,GROUP,24.4,10.6,1.09,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Morocco,Croatia,GROUP,3.44,3.22,2.21,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Belgium,Canada,GROUP,1.57,4.16,5.74,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Belgium,Morocco,GROUP,1.88,3.35,4.41,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Croatia,Canada,GROUP,2.2,3.23,3.47,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Croatia,Belgium,GROUP,2.97,3.34,2.38,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
